Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
924614893,35000000.0,Cipocok Jaya,2024-08-17T09:30:01+0000,2,1,602,30
926224220,385000000.0,Panongan,2024-10-15T03:42:18+0000,2,1,72,60
926224762,400000000.0,Panongan,2024-10-15T03:38:39+0000,2,1,72,60
927022596,750000000.0,Cimanuk,2024-10-15T03:25:13+0000,4,3,1600,800
927018875,130000000.0,Balaraja,2024-10-15T01:44:23+0000,2,1,75,60
927018812,127000000.0,Panongan,2024-10-15T01:41:31+0000,2,1,60,30
927016550,390000000.0,Parung Panjang,2024-10-14T23:49:37+0000,1,1,60,40
927014942,225000000.0,Munjul,2024-10-14T19:48:08+0000,2,1,40,30
915485911,900000000.0,Cisoka,2024-10-14T17:38:54+0000,2,2,50,65
927014027,120000000.0,Parung Panjang,2024-10-14T17:21:27+0000,2,1,60,30
927014012,625000000.0,Panongan,2024-10-14T17:20:28+0000,2,2,72,72
927013103,400000000.0,Baros,2024-10-14T16:11:24+0000,2,2,258,120
927013912,399000000.0,Legok,2024-10-14T17:10:04+0000,3,3,120,120
918990372,188000000.0,Ciampea,2024-08-12T07:14:32+0000,2,1,60,27
922849663,270000000.0,Maja,2024-09-09T03:16:38+0000,2,1,90,36
926641586,4000000000.0,Munjul,2024-10-05T16:16:27+0000,8,5,540,486
925959227,265000000.0,Cipocok Jaya,2024-09-19T04:20:59+0000,2,1,72,72
927012136,130000000.0,Rangkasbitung,2024-10-14T15:21:28+0000,2,1,76,36
927011387,750000000.0,Ciampea,2024-10-14T14:46:41+0000,2,2,256,46
927008930,250000000.0,Rangkasbitung,2024-10-14T13:29:06+0000,2,1,88,45
927008679,400000000.0,Cikande,2024-10-14T13:21:23+0000,4,4,100,98
927007783,60000000.0,Tenjo,2024-10-14T12:53:24+0000,2,1,36,72
927005231,2500000000.0,Rangkasbitung,2024-10-14T11:45:08+0000,3,1,406,1
927003112,60000000.0,Parung Panjang,2024-10-14T10:44:26+0000,2,1,60,27
926995672,75000000.0,Curug,2024-10-14T08:05:44+0000,2,1,60,60
926992148,200000000.0,Cigudeg,2024-10-14T06:59:54+0000,4,2,160,81
926991289,25000000.0,Cipocok Jaya,2024-10-14T06:44:35+0000,2,1,21,60
926989312,450.0,Cibungbulang,2024-10-14T06:08:38+0000,2,1,70,80
926989005,300000000.0,Balaraja,2024-10-14T06:03:08+0000,2,1,72,72
842054095,135000000.0,Maja,2024-10-07T03:53:01+0000,2,1,36,72
926641612,320000000.0,Parung Panjang,2024-10-05T16:17:47+0000,1,1,72,35
915148985,880000000.0,Parung Panjang,2024-09-18T15:04:03+0000,2,1,121,121
530619636,170000000.0,Cikande,2024-09-20T00:27:04+0000,3,2,60,70
926988927,423077890.0,Curug,2024-10-14T06:01:50+0000,3,1,92,48
926988744,412009399.0,Cipocok Jaya,2024-10-14T05:59:00+0000,3,1,89,48
926984167,80000000.0,Legok,2024-10-14T04:31:15+0000,2,1,60,35
926983038,90000000.0,Tigaraksa,2024-10-14T04:07:14+0000,2,1,80,30
926982984,600000024.0,Balaraja,2024-10-14T04:06:14+0000,3,2,74,44
924459590,290000000.0,Maja,2024-10-14T03:49:21+0000,2,1,118,45
926981491,110000.0,Labuan,2024-10-14T03:39:24+0000,1,1,3674,0
926980769,500793900.0,Panongan,2024-10-14T03:26:45+0000,2,1,78,39
926980552,500183990.0,Solear,2024-10-14T03:22:30+0000,2,1,78,44
926891326,380000000.0,Maja,2024-10-14T02:19:22+0000,4,2,180,54
926975297,400000000.0,Panongan,2024-10-14T01:18:14+0000,2,1,72,72
926455319,1200000000.0,Panongan,2024-10-01T07:19:46+0000,4,2,72,180
926020521,130000000.0,Maja,2024-09-20T10:08:24+0000,2,1,72,36
925958032,388000000.0,Parung Panjang,2024-09-19T03:58:07+0000,1,1,60,23
913211560,350000000.0,Parung Panjang,2024-09-20T21:41:21+0000,2,1,72,48
926968315,70000000.0,Cibungbulang,2024-10-13T15:42:36+0000,1,1,60,60
926968059,350000000.0,Ciampea,2024-10-13T15:27:29+0000,3,1,138,138
926968028,925000000.0,Tangerang Kab.,2024-10-13T15:24:57+0000,4,2,150,150
926965382,300000000.0,Parung Panjang,2024-10-13T13:37:58+0000,2,1,84,54
926965205,350000000.0,Rumpin,2024-10-13T13:31:49+0000,2,1,72,40
926962228,1500000000.0,Cibadak,2024-10-13T11:49:58+0000,3,1,529,295
926958549,290000000.0,Solear,2024-10-13T10:00:59+0000,2,1,90,45
926955856,150000000.0,Legok,2024-10-13T08:49:01+0000,2,1,60,36
924175906,395000000.0,Legok,2024-10-13T07:48:50+0000,2,1,60,40
926952839,300000000.0,Parung Panjang,2024-10-13T07:29:37+0000,2,1,27,60
926951200,240000000.0,Tigaraksa,2024-10-13T06:52:01+0000,2,1,60,60
926353072,425000000.0,Panongan,2024-09-28T13:16:08+0000,2,1,72,51
926488228,170000000.0,Maja,2024-10-02T04:07:24+0000,1,1,102,27
