Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
927025072,410299200.0,Cipocok Jaya,2024-10-15T04:15:45+0000,2,1,78,44
927024594,402039000.0,Curug,2024-10-15T04:07:37+0000,3,1,90,49
927012136,130000000.0,Rangkasbitung,2024-10-14T15:21:28+0000,2,1,76,36
927008930,250000000.0,Rangkasbitung,2024-10-14T13:29:06+0000,2,1,88,45
927005231,2500000000.0,Rangkasbitung,2024-10-14T11:45:08+0000,3,1,406,1
926995672,75000000.0,Curug,2024-10-14T08:05:44+0000,2,1,60,60
926991289,25000000.0,Cipocok Jaya,2024-10-14T06:44:35+0000,2,1,21,60
926988927,423077890.0,Curug,2024-10-14T06:01:50+0000,3,1,92,48
926988744,412009399.0,Cipocok Jaya,2024-10-14T05:59:00+0000,3,1,89,48
926962228,1500000000.0,Cibadak,2024-10-13T11:49:58+0000,3,1,529,295
926939345,72000000.0,Cipocok Jaya,2024-10-13T02:34:54+0000,2,1,60,30
926926037,675000000.0,Cipocok Jaya,2024-10-12T12:34:20+0000,3,3,133,100
926919371,95000000.0,Rangkasbitung,2024-10-12T09:14:58+0000,2,1,72,36
926918116,400123456.0,Cipocok Jaya,2024-10-12T08:46:56+0000,3,1,90,45
926896958,110000000.0,Rangkasbitung,2024-10-12T01:33:58+0000,3,1,131,131
926863498,410438909.0,Cipocok Jaya,2024-10-11T05:14:29+0000,3,1,90,48
926863405,400027900.0,Curug,2024-10-11T05:12:11+0000,3,1,89,49
926843697,25000000.0,Cipocok Jaya,2024-10-10T13:12:18+0000,2,1,66,36
926831070,230000000.0,Rangkasbitung,2024-10-10T07:58:59+0000,3,2,72,72
926824529,310000000.0,Cipocok Jaya,2024-10-10T06:00:03+0000,2,1,72,36
924254377,295000000.0,Rangkasbitung,2024-10-09T13:32:40+0000,3,2,103,103
926783797,435000000.0,Cipocok Jaya,2024-10-09T07:05:13+0000,2,1,72,33
926783258,1000000.0,Cipocok Jaya,2024-10-09T06:55:45+0000,2,1,66,33
926783084,1000000.0,Cipocok Jaya,2024-10-09T06:52:40+0000,2,1,72,33
926777727,750000000.0,Cibadak,2024-10-09T05:08:55+0000,4,3,140,196
926695287,230000000.0,Cipocok Jaya,2024-10-07T06:10:54+0000,2,2,72,72
926691184,400000123.0,Cipocok Jaya,2024-10-07T04:42:07+0000,3,1,90,48
926689322,85000000.0,Curug,2024-10-07T04:08:26+0000,2,1,72,30
926683075,230000000.0,Cipocok Jaya,2024-10-07T01:49:19+0000,2,1,72,50
926664656,210000000.0,Rangkasbitung,2024-10-06T08:43:59+0000,2,1,90,45
926615402,500000004.0,Pabuaran,2024-10-05T04:11:29+0000,3,1,90,39
926592742,2500000000.0,Menes,2024-10-04T11:26:19+0000,4,2,225,225
926573245,500000001.0,Cipocok Jaya,2024-10-04T04:24:32+0000,3,1,91,46
926565995,350000000.0,Cipocok Jaya,2024-10-04T01:50:14+0000,2,2,72,72
926559719,100000000.0,Rangkasbitung,2024-10-03T16:40:22+0000,3,1,10000,20000
926542800,518000000.0,Cipocok Jaya,2024-10-03T08:05:24+0000,2,1,90,30
926542416,550000000.0,Cipocok Jaya,2024-10-03T07:56:38+0000,3,1,90,45
926542172,450000000.0,Cipocok Jaya,2024-10-03T07:50:54+0000,2,1,72,36
926541604,400000000.0,Cipocok Jaya,2024-10-03T07:39:00+0000,2,1,60,30
926538454,400000000.0,Cipocok Jaya,2024-10-03T06:38:08+0000,3,2,90,45
926507268,197000000.0,Cibadak,2024-10-02T10:35:33+0000,2,1,70,70
926499169,400000000.0,Cipocok Jaya,2024-10-02T07:42:59+0000,2,1,60,30
926497590,370000000.0,Cipocok Jaya,2024-10-02T07:11:37+0000,2,1,60,60
926479561,200000000.0,Cipocok Jaya,2024-10-02T00:18:01+0000,2,1,60,60
926416050,1700000000.0,Cipocok Jaya,2024-09-30T08:22:27+0000,3,2,112,210
926400878,3000000000.0,Cipocok Jaya,2024-09-30T02:53:12+0000,>10,>10,734,734
926395438,10000000000.0,Rangkasbitung,2024-09-30T00:10:51+0000,3,3,1035,1226
