Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
926918332,410029990.0,Serang,2024-10-12T08:51:21+0000,3,1,89,49
926918116,400123456.0,Cipocok Jaya,2024-10-12T08:46:56+0000,3,1,90,45
926910030,300000000.0,Serang,2024-10-12T06:03:13+0000,3,2,120,100
926875061,3800000000.0,Serang,2024-10-11T09:06:22+0000,6,5,505,300
926863498,410438909.0,Cipocok Jaya,2024-10-11T05:14:29+0000,3,1,90,48
926843697,25000000.0,Cipocok Jaya,2024-10-10T13:12:18+0000,2,1,66,36
926843110,150000000.0,Serang,2024-10-10T12:52:56+0000,1,1,60,60
926827312,600000000.0,Serang,2024-10-10T06:50:31+0000,2,1,120,120
926824529,310000000.0,Cipocok Jaya,2024-10-10T06:00:03+0000,2,1,72,36
926809483,300000000.0,Serang,2024-10-10T00:08:38+0000,2,2,72,66
926783797,435000000.0,Cipocok Jaya,2024-10-09T07:05:13+0000,2,1,72,33
926783258,1000000.0,Cipocok Jaya,2024-10-09T06:55:45+0000,2,1,66,33
926783084,1000000.0,Cipocok Jaya,2024-10-09T06:52:40+0000,2,1,72,33
926775451,1000000.0,Serang,2024-10-09T04:26:28+0000,2,2,97,85
924234596,2100000000.0,Serang,2024-10-09T01:44:37+0000,3,3,295,200
926764002,950000000.0,Serang,2024-10-08T21:12:58+0000,5,2,298,95
926739485,300000000.0,Serang,2024-10-08T06:43:25+0000,1,1,60,48
926717654,2300000000.0,Serang,2024-10-07T16:50:12+0000,6,3,455,400
926709665,300000000.0,Serang,2024-10-07T11:44:24+0000,2,1,163,45
926707124,1579000000.0,Serang,2024-10-07T10:32:42+0000,3,2,242,200
926695287,230000000.0,Cipocok Jaya,2024-10-07T06:10:54+0000,2,2,72,72
926691184,400000123.0,Cipocok Jaya,2024-10-07T04:42:07+0000,3,1,90,48
926691048,400000012.0,Serang,2024-10-07T04:39:44+0000,3,1,89,45
926690797,550000000.0,Serang,2024-10-07T04:35:28+0000,2,1,107,72
926688937,435000000.0,Serang,2024-10-07T04:01:10+0000,2,1,72,33
926687822,400000001.0,Serang,2024-10-07T03:39:46+0000,3,1,90,47
926683075,230000000.0,Cipocok Jaya,2024-10-07T01:49:19+0000,2,1,72,50
926665759,650000000.0,Serang,2024-10-06T09:18:37+0000,4,1,175,175
926665640,950000000.0,Serang,2024-10-06T09:14:17+0000,2,1,150,180
926661068,600000000.0,Serang,2024-10-06T06:59:13+0000,3,2,72,140
926643029,1500000000.0,Serang,2024-10-05T17:59:23+0000,4,2,230,400
926579198,400000000.0,Serang,2024-10-04T06:35:28+0000,3,2,90,45
926573416,500000002.0,Serang,2024-10-04T04:27:52+0000,3,1,90,44
926573245,500000001.0,Cipocok Jaya,2024-10-04T04:24:32+0000,3,1,91,46
926565995,350000000.0,Cipocok Jaya,2024-10-04T01:50:14+0000,2,2,72,72
926542800,518000000.0,Cipocok Jaya,2024-10-03T08:05:24+0000,2,1,90,30
926542416,550000000.0,Cipocok Jaya,2024-10-03T07:56:38+0000,3,1,90,45
926542172,450000000.0,Cipocok Jaya,2024-10-03T07:50:54+0000,2,1,72,36
926541604,400000000.0,Cipocok Jaya,2024-10-03T07:39:00+0000,2,1,60,30
926540011,340000000.0,Serang,2024-10-03T07:08:22+0000,2,1,60,40
926538454,400000000.0,Cipocok Jaya,2024-10-03T06:38:08+0000,3,2,90,45
926537805,400000000.0,Serang,2024-10-03T06:26:16+0000,3,1,90,45
926531891,500000000.0,Serang,2024-10-03T04:31:20+0000,3,1,90,45
926526282,600000000.0,Serang,2024-10-03T02:36:25+0000,5,2,200,80
926525266,75000000.0,Serang,2024-10-03T02:08:47+0000,1,1,22,60
926513932,75000000.0,Serang,2024-10-02T13:54:36+0000,2,1,60,30
926499169,400000000.0,Cipocok Jaya,2024-10-02T07:42:59+0000,2,1,60,30
926497590,370000000.0,Cipocok Jaya,2024-10-02T07:11:37+0000,2,1,60,60
926479561,200000000.0,Cipocok Jaya,2024-10-02T00:18:01+0000,2,1,60,60
926467262,1050000000.0,Serang,2024-10-01T11:44:57+0000,3,2,140,150
926463349,59000000.0,Serang Kota,2024-10-01T10:02:22+0000,3,3,324,200
908694399,150000000.0,Serang,2024-10-01T09:05:09+0000,2,1,72,72
926455059,285000000.0,Serang,2024-10-01T07:16:25+0000,2,2,130,70
926439970,700000000.0,Serang,2024-10-01T02:07:45+0000,3,2,125,72
926428190,2400000000.0,Serang,2024-09-30T13:50:59+0000,4,4,160,212
926416050,1700000000.0,Cipocok Jaya,2024-09-30T08:22:27+0000,3,2,112,210
926400878,3000000000.0,Cipocok Jaya,2024-09-30T02:53:12+0000,>10,>10,734,734
926377798,850000000.0,Cipocok Jaya,2024-09-29T08:07:31+0000,5,4,240,200
926369696,199000000.0,Cipocok Jaya,2024-09-29T04:34:57+0000,2,1,60,50
926367970,450000000.0,Serang,2024-09-29T03:54:24+0000,5,2,120,150
926362523,250000000.0,Serang,2024-09-29T00:49:10+0000,2,1,60,60
926347057,165000000.0,Serang,2024-09-28T09:54:15+0000,2,1,60,60
926345133,1300000000.0,Serang,2024-09-28T08:56:52+0000,5,5,247,380
926326115,5500000000.0,Cipocok Jaya,2024-09-28T02:01:24+0000,9,8,1430,600
926319549,1540000000.0,Serang,2024-09-27T17:57:25+0000,3,2,310,260
850140767,385000000.0,Serang,2024-09-27T01:28:19+0000,3,2,96,70
926272347,123.0,Serang,2024-09-26T13:04:47+0000,2,1,84,84
926234861,280000000000.0,Cipocok Jaya,2024-09-25T15:47:17+0000,1,1,181,27
