Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
926868367,280000000.0,Tigaraksa,2024-10-11T06:51:30+0000,2,2,100,100
926842310,470000000.0,Panongan,2024-10-10T12:29:31+0000,2,1,90,60
926838344,1700000000.0,Panongan,2024-10-10T10:26:18+0000,3,2,126,200
926823099,350000000.0,Tigaraksa,2024-10-10T05:33:47+0000,2,1,60,60
926818967,1100000000.0,Tigaraksa,2024-10-10T04:09:17+0000,7,5,200,250
926805579,130000000.0,Tigaraksa,2024-10-09T17:32:27+0000,2,1,72,72
926794561,435.0,Panongan,2024-10-09T10:40:37+0000,3,1,72,72
926791190,60000000.0,Tigaraksa,2024-10-09T09:27:21+0000,2,1,60,30
926784412,26000000.0,Tigaraksa,2024-10-09T07:15:15+0000,2,1,60,30
926780214,150000000.0,Tigaraksa,2024-10-09T05:59:08+0000,1,1,60,60
926755996,750000000.0,Panongan,2024-10-08T13:01:23+0000,3,2,84,70
926745111,65000000.0,Tigaraksa,2024-10-08T08:18:53+0000,1,1,108,22
926744417,500000000.0,Tigaraksa,2024-10-08T08:01:58+0000,3,1,60,60
926736831,520000000.0,Tigaraksa,2024-10-08T05:46:28+0000,2,1,72,72
926728155,352000000.0,Tigaraksa,2024-10-08T03:04:15+0000,2,1,60,30
926723812,200000000.0,Panongan,2024-10-08T01:20:45+0000,3,2,70,70
926715678,890000000.0,Panongan,2024-10-07T14:58:02+0000,3,1,90,90
926704140,436239200.0,Panongan,2024-10-07T09:16:32+0000,2,1,70,40
924682796,475000000.0,Panongan,2024-10-06T07:33:02+0000,2,1,72,72
926646411,260000000.0,Tigaraksa,2024-10-05T23:51:16+0000,2,1,168,48
926635855,70000000.0,Tigaraksa,2024-10-05T12:39:20+0000,1,1,60,36
926634869,1500000000.0,Panongan,2024-10-05T12:06:50+0000,3,2,120,92
926628788,1200000000.0,Tigaraksa,2024-10-05T09:11:49+0000,4,2,782,250
926616169,300000000.0,Tigaraksa,2024-10-05T04:25:29+0000,2,1,60,60
926598264,1400000000.0,Panongan,2024-10-04T14:18:45+0000,3,2,126,180
926591112,130000000.0,Panongan,2024-10-04T10:38:40+0000,1,1,60,60
926568399,450000.0,Tigaraksa,2024-10-04T02:49:37+0000,2,1,105,45
926565129,265000000.0,Tigaraksa,2024-10-04T01:22:08+0000,1,1,72,100
926564863,450000000.0,Tigaraksa,2024-10-04T01:12:18+0000,4,2,94,72
922281051,880000000.0,Panongan,2024-10-03T23:06:43+0000,3,2,100,130
926562153,388500000.0,Tigaraksa,2024-10-03T22:32:53+0000,2,1,60,33
926559311,1190000000.0,Panongan,2024-10-03T16:15:24+0000,3,3,100,175
926555935,130000000.0,Tigaraksa,2024-10-03T13:52:49+0000,2,1,60,30
926531689,50000000.0,Tigaraksa,2024-10-03T04:27:28+0000,2,1,60,30
922663144,1150000000.0,Panongan,2024-10-03T03:26:01+0000,2,1,139,45
926489004,330000000.0,Tigaraksa,2024-10-02T04:21:34+0000,2,1,60,50
926477289,900000000.0,Panongan,2024-10-01T19:49:09+0000,2,1,84,70
926472387,670000000.0,Panongan,2024-10-01T14:20:05+0000,3,1,81,60
926430728,185000000.0,Panongan,2024-09-30T15:16:37+0000,2,1,120,100
926410945,1400000000.0,Panongan,2024-09-30T06:22:37+0000,3,2,126,180
926404540,185000000.0,Tigaraksa,2024-09-30T04:00:25+0000,2,1,60,30
926384579,540000000.0,Panongan,2024-09-29T11:57:16+0000,4,2,200,200
926375935,850000000.0,Tigaraksa,2024-09-29T07:16:21+0000,3,1,134,21
924277271,1400000000.0,Panongan,2024-09-29T01:34:44+0000,3,2,105,93
924297742,770000000.0,Panongan,2024-09-29T01:34:21+0000,2,1,96,55
924277860,750000000.0,Panongan,2024-09-29T01:33:58+0000,2,1,90,70
926362987,50000000.0,Tigaraksa,2024-09-29T01:15:21+0000,2,1,60,29
926357432,70000000.0,Tigaraksa,2024-09-28T16:04:02+0000,2,1,60,60
926356250,330000000.0,Panongan,2024-09-28T15:08:18+0000,3,2,200,150
926355984,170000000.0,Panongan,2024-09-28T14:59:31+0000,2,1,42,42
926337878,200000000.0,Panongan,2024-09-28T05:59:02+0000,2,1,120,120
926336424,350000000.0,Tigaraksa,2024-09-28T05:27:10+0000,3,2,92,92
924272882,470000000.0,Panongan,2024-09-27T10:41:36+0000,2,2,70,53
926297199,375000000.0,Panongan,2024-09-27T06:41:15+0000,2,1,96,27
926277867,650000000.0,Panongan,2024-09-26T16:36:22+0000,3,1,72,62
926265334,200000000.0,Tigaraksa,2024-09-26T09:47:57+0000,2,1,72,72
