Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
927023941,2000000000.0,Karang Tengah,2024-10-15T03:54:01+0000,4,3,223,100
904845630,444000000.0,Tangerang,2024-10-15T03:49:19+0000,2,1,60,31
927023727,800000000.0,Cipondoh,2024-10-15T03:49:09+0000,3,1,90,70
898323399,450000000.0,Tangerang,2024-10-15T03:49:05+0000,2,1,60,31
927023637,2000000000.0,Cipondoh,2024-10-15T03:47:12+0000,4,3,120,120
927023529,520939000.0,Karawaci,2024-10-15T03:44:52+0000,2,1,78,45
920655196,947000000.0,Cipondoh,2024-10-15T03:41:49+0000,4,2,450,284
926130668,30000000000.0,Karawaci,2024-10-15T03:35:51+0000,6,6,985,800
927023073,2000000000.0,Cipondoh,2024-10-15T03:35:25+0000,4,3,120,120
925148249,1100000000.0,Cipondoh,2024-10-15T03:28:40+0000,2,1,48,75
927022424,1000000000.0,Cipondoh,2024-10-15T03:21:46+0000,2,1,72,72
927022276,50000000.0,Karawaci,2024-10-15T03:18:18+0000,4,2,78,96
926036490,70000000.0,Karawaci,2024-09-20T22:48:32+0000,3,2,65,48
925898746,400000000.0,Tangerang,2024-09-17T14:45:14+0000,4,1,132,80
926139535,700000000.0,Cipondoh,2024-09-23T10:22:49+0000,2,1,60,31
926697299,1800000000.0,Pinang (Penang),2024-10-07T06:52:05+0000,4,2,160,160
927016825,2000000000.0,Pinang (Penang),2024-10-15T00:12:05+0000,3,2,81,102
927016684,2000000000.0,Pinang (Penang),2024-10-15T00:00:09+0000,3,2,81,102
911907497,16000000000.0,Pinang (Penang),2024-10-14T17:40:34+0000,5,4,312,398
913796453,16000000000.0,Pinang (Penang),2024-10-14T17:37:57+0000,6,5,568,600
913795878,2700000000.0,Karawaci,2024-10-14T17:37:39+0000,3,3,96,161
925089421,3700000000.0,Karang Tengah,2024-10-14T15:47:10+0000,4,3,88,158
922621427,900000000.0,Tangerang,2024-10-14T14:49:41+0000,2,2,76,72
927005975,95000000.0,Tangerang,2024-10-14T12:04:31+0000,3,1,100,98
927005020,300000000.0,Cipondoh,2024-10-14T11:39:57+0000,2,1,45,45
927004643,500399000.0,Karawaci,2024-10-14T11:30:03+0000,2,1,60,33
927001226,600000000.0,Cipondoh,2024-10-14T09:59:42+0000,2,1,60,45
927000854,600000000.0,Karawaci,2024-10-14T09:51:37+0000,4,2,72,77
924174739,1040000000.0,Pinang (Penang),2024-08-07T02:14:26+0000,3,2,48,75
759849357,529000000.0,Karawaci,2024-06-09T06:42:43+0000,3,1,99,90
923666447,35000000.0,Tangerang,2024-10-02T20:29:42+0000,3,2,102,120
922529565,2500000000.0,Pinang (Penang),2024-08-15T00:38:49+0000,4,2,250,270
927000791,600000000.0,Karawaci,2024-10-14T09:50:09+0000,3,2,72,77
927000789,600000000.0,Karawaci,2024-10-14T09:50:07+0000,3,2,72,40
927000769,600000000.0,Karawaci,2024-10-14T09:49:41+0000,3,2,60,33
927000765,600000000.0,Karawaci,2024-10-14T09:49:38+0000,3,2,72,77
920566167,1149000000.0,Karang Tengah,2024-10-14T09:20:43+0000,3,2,110,80
926996825,600000000.0,Cipondoh,2024-10-14T08:29:04+0000,3,1,56,50
926994775,1200000000.0,Batuceper,2024-10-14T07:50:07+0000,2,2,90,130
926993852,635000000.0,Batuceper,2024-10-14T07:32:26+0000,3,2,60,60
926993164,1350000000.0,Tangerang,2024-10-14T07:19:36+0000,4,3,77,55
926992236,550000000.0,Cipondoh,2024-10-14T07:01:36+0000,2,2,135,120
926992174,600000000.0,Karawaci,2024-10-14T07:00:19+0000,3,2,72,40
924789139,990000000.0,Tangerang,2024-08-21T19:45:11+0000,2,1,90,72
926376435,1200000000.0,Cipondoh,2024-09-29T07:30:08+0000,3,2,90,90
926528718,900000000.0,Cipondoh,2024-10-03T03:29:52+0000,2,1,67,36
926135143,2400000000.0,Cipondoh,2024-09-23T08:50:08+0000,5,3,164,280
926991921,25000000000.0,Karawaci,2024-10-14T06:55:53+0000,5,5,1000,1000
925070700,600000000.0,Batuceper,2024-10-14T06:25:35+0000,2,2,60,40
926989805,2400000000.0,Cipondoh,2024-10-14T06:16:58+0000,4,3,108,94
926986206,2000000000.0,Cipondoh,2024-10-14T05:10:18+0000,3,2,120,120
926986099,900000000.0,Karawaci,2024-10-14T05:08:11+0000,4,3,90,100
926985741,1100000000.0,Pinang (Penang),2024-10-14T05:01:00+0000,4,2,110,100
926983597,600000000.0,Cipondoh,2024-10-14T04:18:59+0000,2,1,88,77
926983272,4499900000.0,Tangerang,2024-10-14T04:12:03+0000,5,4,200,180
926983238,501289000.0,Karawaci,2024-10-14T04:11:22+0000,2,1,75,48
926981828,2079000000.0,Karawaci,2024-10-14T03:45:02+0000,4,4,134,242
926980706,1700000000.0,Cipondoh,2024-10-14T03:25:23+0000,3,2,60,60
922052200,750000000.0,Cipondoh,2024-06-19T08:04:42+0000,2,1,72,58
925857465,800000000.0,Tangerang,2024-09-16T16:11:16+0000,2,1,90,45
923211649,250000000.0,Karang Tengah,2024-09-25T22:58:54+0000,2,1,35,35
924445022,3800000000.0,Cipondoh,2024-10-07T04:48:09+0000,3,3,120,130
921105681,2100000000.0,Cipondoh,2024-10-14T02:44:27+0000,3,2,90,120
926975261,350000000.0,Cipondoh,2024-10-14T01:16:46+0000,2,1,54,30
921047065,6500000000.0,Karawaci,2024-10-14T00:16:10+0000,3,3,300,290
926969788,3100000000.0,Cipondoh,2024-10-13T17:49:36+0000,4,3,120,300
895356867,430000000.0,Karang Tengah,2024-10-13T16:55:01+0000,1,1,38,30
926969199,750000000.0,Karawaci,2024-10-13T16:54:31+0000,2,2,50,60
926967375,699000000.0,Karawaci,2024-10-13T14:50:30+0000,6,2,90,175
925748822,25000000.0,Tangerang,2024-10-13T13:57:35+0000,2,1,72,36
926965519,1300000000.0,Karang Tengah,2024-10-13T13:42:32+0000,3,2,232,150
924056175,330000000.0,Tangerang,2024-10-13T12:20:14+0000,2,1,54,45
926960877,120000000.0,Karawaci,2024-10-13T11:12:06+0000,1,1,25,24
926125852,6900000000.0,Cipondoh,2024-09-23T05:26:32+0000,5,4,300,500
924085456,1350000000.0,Cipondoh,2024-09-21T11:46:04+0000,4,2,84,72
926450488,2000000000.0,Tangerang,2024-10-01T05:35:02+0000,4,3,66,93
925837798,1700000000.0,Karawaci,2024-09-16T05:55:13+0000,3,2,170,100
926956146,675000000.0,Tangerang,2024-10-13T08:56:57+0000,2,1,72,72
926950726,1000000000.0,Karawaci,2024-10-13T06:42:13+0000,3,3,79,88
926949021,1880000000.0,Cipondoh,2024-10-13T06:04:52+0000,4,3,169,270
926948428,750000000.0,Cipondoh,2024-10-13T05:50:57+0000,4,2,48,96
926948282,850000000.0,Cipondoh,2024-10-13T05:47:10+0000,2,1,87,87
926947477,950000000.0,Cipondoh,2024-10-13T05:26:54+0000,6,6,69,140
926946884,980000000.0,Cipondoh,2024-10-13T05:14:56+0000,2,1,90,50
922925372,218000000.0,Cipondoh,2024-10-13T04:45:03+0000,2,1,60,45
926939262,1000000000.0,Karawaci,2024-10-13T02:32:21+0000,4,2,72,77
919365306,2500000000.0,Karawaci,2024-10-13T02:20:00+0000,3,2,84,160
926938776,800000000.0,Karawaci,2024-10-13T02:16:30+0000,3,2,72,69
925898543,2600000000.0,Tangerang,2024-09-17T14:37:45+0000,3,2,87,204
925998288,3700000000.0,Cipondoh,2024-09-20T02:29:31+0000,5,4,200,200
926868678,950000000.0,Tangerang,2024-10-11T06:58:10+0000,3,2,64,90
924645679,400000000.0,Tangerang,2024-08-18T07:02:37+0000,2,1,61,61
926938708,350000000.0,Karawaci,2024-10-13T02:13:40+0000,2,2,29,36
926938598,1000000000.0,Karawaci,2024-10-13T02:09:51+0000,3,3,79,88
923937536,19000000000.0,Karawaci,2024-10-13T01:13:04+0000,6,4,742,808
915545176,1000000000.0,Karawaci,2024-10-12T23:19:00+0000,3,3,74,68
924814158,1200000000.0,Tangerang,2024-10-12T23:18:03+0000,4,2,72,77
924887681,700000000.0,Karawaci,2024-10-12T23:15:53+0000,2,1,72,40
924830387,1200000000.0,Karawaci,2024-10-12T23:13:12+0000,2,1,72,40
924298102,700000000.0,Tangerang,2024-10-12T23:12:16+0000,2,1,60,33
926615305,800000000.0,Tangerang,2024-10-12T23:09:39+0000,3,2,78,68
926615524,800000000.0,Karawaci,2024-10-12T23:09:24+0000,3,2,72,68
926615615,820000000.0,Pinang (Penang),2024-10-12T23:09:04+0000,3,2,72,68
925353190,2600000000.0,Pinang (Penang),2024-09-04T08:17:45+0000,7,4,243,370
888559516,1275000000.0,Karawaci,2024-09-19T06:45:51+0000,2,2,75,75
923105784,2750000000.0,Tangerang,2024-09-10T23:15:33+0000,5,4,192,200
926831907,1500000000.0,Cipondoh,2024-10-10T08:14:58+0000,4,2,66,59
926756720,800000000.0,Karawaci,2024-10-12T23:07:52+0000,3,2,72,69
926844002,695000000.0,Tangerang,2024-10-12T23:07:42+0000,2,1,60,36
926833242,695000000.0,Karawaci,2024-10-12T23:07:24+0000,2,1,60,36
926934334,200000000.0,Tangerang,2024-10-12T19:50:09+0000,2,1,30,30
926932449,880000000.0,Karawaci,2024-10-12T16:43:50+0000,3,3,44,60
926931082,520000000.0,Karawaci,2024-10-12T15:43:44+0000,3,2,90,90
808150070,4600000000.0,Tangerang,2024-10-12T13:58:33+0000,8,4,390,300
920052297,4500000000.0,Pinang (Penang),2024-10-12T13:58:16+0000,5,4,230,175
926927828,270000000.0,Batuceper,2024-10-12T13:31:51+0000,2,1,72,65
926927238,3000000000.0,Karang Tengah,2024-10-12T13:11:59+0000,3,2,165,193
926927192,1650000000.0,Cipondoh,2024-10-12T13:10:31+0000,3,2,75,100
926922899,400128379.0,Tangerang,2024-10-12T10:53:05+0000,3,1,70,42
926922820,400002289.0,Karawaci,2024-10-12T10:50:39+0000,3,1,72,40
926922717,400002830.0,Pinang (Penang),2024-10-12T10:47:32+0000,3,1,70,40
926922628,402839009.0,Tangerang,2024-10-12T10:44:31+0000,3,1,72,41
926922531,400292938.0,Karawaci,2024-10-12T10:41:31+0000,3,1,72,40
926922064,750000000.0,Cipondoh,2024-10-12T10:28:21+0000,2,1,75,32
926919606,950000000.0,Karawaci,2024-10-12T09:21:26+0000,3,1,72,51
924994698,225000000.0,Tangerang,2024-10-12T08:57:59+0000,2,1,40,30
924927242,4990000000.0,Tangerang,2024-10-12T08:52:17+0000,4,4,250,250
926918124,520000000.0,Karawaci,2024-10-12T08:47:06+0000,2,1,77,42
926914353,800000000.0,Cipondoh,2024-10-12T07:24:30+0000,2,1,60,33
926912727,40000000.0,Karawaci,2024-10-12T06:52:38+0000,3,3,105,68
926900190,620000000.0,Karawaci,2024-10-12T02:49:06+0000,2,1,45,60
922736311,3200000000.0,Tangerang,2024-10-12T02:34:44+0000,4,3,120,120
911841641,781000000.0,Karang Tengah,2024-10-12T02:18:22+0000,3,2,150,87
924834696,980000000.0,Cipondoh,2024-10-12T01:50:30+0000,2,1,90,50
923131299,270000000.0,Karawaci,2024-10-11T23:36:21+0000,2,1,60,27
926888355,700000000.0,Cipondoh,2024-10-11T15:45:00+0000,2,1,60,40
926887453,975000000.0,Cipondoh,2024-10-11T15:07:10+0000,2,2,84,60
926886483,4350000000.0,Karang Tengah,2024-10-11T14:29:06+0000,4,2,300,225
926885297,3300000000.0,Cipondoh,2024-10-11T13:42:36+0000,3,4,200,340
926883523,1350000000.0,Tangerang,2024-10-11T12:50:16+0000,4,4,78,115
926881924,200000000.0,Cipondoh,2024-10-11T12:06:50+0000,2,1,30,25
926881879,200000000.0,Tangerang,2024-10-11T12:05:54+0000,2,1,30,25
912101022,1500000000.0,Karawaci,2024-10-11T11:23:09+0000,3,3,120,140
926880062,751000000.0,Tangerang,2024-10-11T11:18:30+0000,3,3,61,71
923986518,2850000000.0,Cipondoh,2024-10-11T11:14:39+0000,3,3,180,350
926878421,500000000.0,Pinang (Penang),2024-10-11T10:29:44+0000,4,1,60,100
926876662,650000000.0,Pinang (Penang),2024-10-11T09:43:58+0000,2,2,46,55
924811338,838000000.0,Cipondoh,2024-10-11T09:13:07+0000,2,1,60,45
926875026,22500000.0,Karang Tengah,2024-10-11T09:05:37+0000,2,2,96,64
926873503,80000000.0,Karawaci,2024-10-11T08:29:19+0000,5,6,144,172
925650179,1800000000.0,Cipondoh,2024-10-11T08:10:25+0000,3,3,117,120
926868975,1200000000.0,Cipondoh,2024-10-11T07:03:54+0000,3,2,200,150
923901826,19000000000.0,Karawaci,2024-10-11T06:53:50+0000,7,4,808,500
926868161,600000088.0,Tangerang,2024-10-11T06:47:25+0000,3,2,65,45
926865428,27000000000.0,Karawaci,2024-10-11T05:56:06+0000,7,5,700,567
926862772,630000000.0,Karawaci,2024-10-11T04:55:45+0000,3,2,60,120
926860837,700000000.0,Karawaci,2024-10-11T04:14:55+0000,3,2,72,61
926859416,3600000000.0,Pinang (Penang),2024-10-11T03:46:24+0000,5,3,200,177
923524576,630000000.0,Pinang (Penang),2024-10-11T03:32:19+0000,2,2,60,48
925650045,1700000000.0,Cipondoh,2024-10-11T02:50:55+0000,3,2,135,120
924238020,1600000.0,Karawaci,2024-10-11T02:01:18+0000,2,1,66,66
924974648,2600000000.0,Pinang (Penang),2024-10-11T01:42:49+0000,4,3,150,133
924982864,3300000000.0,Pinang (Penang),2024-10-11T01:42:18+0000,4,3,216,170
926854149,450000000.0,Karawaci,2024-10-11T01:41:18+0000,3,1,90,90
869838689,975000000.0,Cipondoh,2024-10-11T00:31:35+0000,2,2,77,50
918267467,1650000000.0,Cipondoh,2024-10-11T00:31:20+0000,3,3,78,120
923030996,600000000.0,Cipondoh,2024-10-11T00:31:10+0000,2,1,70,45
923031462,1300000000.0,Cipondoh,2024-10-11T00:30:59+0000,2,2,80,90
920768871,1350000000.0,Tangerang,2024-10-11T00:21:46+0000,2,2,59,70
920773216,4200000000.0,Tangerang,2024-10-11T00:15:49+0000,4,5,308,400
922962676,1300000000.0,Tangerang,2024-10-11T00:11:52+0000,2,2,104,120
926851676,1700000000.0,Tangerang,2024-10-10T23:51:29+0000,3,2,198,190
926851506,215000000.0,Cipondoh,2024-10-10T23:40:26+0000,1,1,30,30
926849930,800000000.0,Cipondoh,2024-10-10T18:53:18+0000,3,2,120,100
926836731,5250000000.0,Karawaci,2024-10-10T09:53:42+0000,3,3,200,420
920537000,1300000000.0,Cipondoh,2024-10-10T08:48:02+0000,2,2,90,60
926833682,1500000000.0,Cipondoh,2024-10-10T08:46:58+0000,3,2,84,168
926830149,290000000.0,Cipondoh,2024-10-10T07:40:37+0000,2,1,60,45
926829325,762000000.0,Tangerang,2024-10-10T07:25:00+0000,3,3,61,71
926829253,761000000.0,Karang Tengah,2024-10-10T07:23:44+0000,3,3,61,71
926135155,30000000000.0,Karawaci,2024-10-10T07:17:33+0000,6,6,800,985
926827827,350000000.0,Cipondoh,2024-10-10T06:58:59+0000,2,2,60,50
926824161,850000000.0,Pinang (Penang),2024-10-10T05:52:43+0000,2,1,78,78
926823964,1100000000.0,Karawaci,2024-10-10T05:49:08+0000,3,1,83,64
926823648,280000000.0,Tangerang,2024-10-10T05:43:41+0000,2,1,35,35
926822962,1100000000.0,Tangerang,2024-10-10T05:30:53+0000,2,1,132,110
926819759,270000000.0,Cipondoh,2024-10-10T04:24:30+0000,2,1,35,35
920509207,500000000.0,Pinang (Penang),2024-10-10T03:47:00+0000,1,1,76,72
919674355,650000000.0,Karawaci,2024-10-10T03:03:30+0000,3,2,135,90
926815200,750000000.0,Cipondoh,2024-10-10T03:00:57+0000,3,1,901,70
914879741,1200000000.0,Karawaci,2024-10-10T02:50:28+0000,3,3,114,114
926814586,1450000000.0,Cipondoh,2024-10-10T02:47:28+0000,4,2,66,66
919432620,760000000.0,Cipondoh,2024-10-09T23:14:07+0000,2,1,60,45
922972220,1600000000.0,Cipondoh,2024-10-09T23:12:06+0000,4,3,139,270
922074210,900000000.0,Cipondoh,2024-10-09T23:10:48+0000,2,1,60,45
924860170,27000000.0,Cipondoh,2024-10-09T23:06:52+0000,2,1,60,45
924838432,16000000000.0,Cipondoh,2024-10-09T23:05:51+0000,1,5,4795,3945
924917629,950000000.0,Karawaci,2024-10-09T21:44:24+0000,2,2,194,98
926805486,1599000000.0,Pinang (Penang),2024-10-09T17:23:37+0000,4,2,72,144
926801626,2300000000.0,Tangerang,2024-10-09T14:09:08+0000,4,4,103,96
923854808,738900000.0,Tangerang,2024-10-09T13:26:36+0000,4,2,90,128
926795824,1400000000.0,Tangerang,2024-10-09T11:23:21+0000,3,2,90,90
926792841,750000000.0,Cipondoh,2024-10-09T09:58:46+0000,3,2,112,100
924276304,1500000000.0,Cipondoh,2024-10-09T09:10:20+0000,3,2,90,120
926789309,850000000.0,Karawaci,2024-10-09T08:53:19+0000,3,2,90,100
926789289,155000000.0,Cipondoh,2024-10-09T08:53:02+0000,2,1,60,36
926782971,600000000.0,Cipondoh,2024-10-09T06:50:29+0000,3,2,60,36
926780452,699000000.0,Tangerang,2024-10-09T06:03:23+0000,3,2,96,60
