Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
927035739,699000000.0,Pondok Aren,2024-10-15T07:55:09+0000,3,2,64,45
927035719,1350000000.0,Ciputat,2024-10-15T07:54:45+0000,5,2,220,200
927035596,600000092.0,Serpong,2024-10-15T07:52:10+0000,3,2,63,52
927035169,600000091.0,Serpong,2024-10-15T07:44:46+0000,3,2,63,50
927034765,980000000.0,Ciputat,2024-10-15T07:36:12+0000,2,1,118,90
927033258,2100000000.0,Pondok Aren,2024-10-15T07:04:21+0000,6,4,90,260
927032807,2400000000.0,Ciputat,2024-10-15T06:56:09+0000,3,3,105,90
927030365,2160000008.0,Pondok Aren,2024-10-15T06:06:56+0000,3,2,79,146
927030222,699000000.0,Pondok Aren,2024-10-15T06:03:56+0000,3,2,64,45
927030042,600000000.0,Serpong,2024-10-15T05:59:59+0000,3,2,64,45
927029996,2890000000.0,Pondok Aren,2024-10-15T05:58:54+0000,4,4,107,163
927029336,1500000000.0,Ciputat Timur,2024-10-15T05:43:44+0000,4,3,126,150
925909596,1800000000.0,Ciputat,2024-09-18T02:06:16+0000,2,2,90,68
926610018,830000000.0,Pondok Aren,2024-10-05T02:17:56+0000,2,1,72,42
922089262,945000000.0,Ciputat,2024-09-07T23:34:28+0000,3,2,73,90
925746153,498000000.0,Pondok Aren,2024-09-13T22:44:43+0000,2,2,50,92
927029227,225000000.0,Serpong,2024-10-15T05:41:17+0000,2,1,40,30
927029212,600000000.0,Pondok Aren,2024-10-15T05:40:55+0000,3,2,64,45
927029182,225000000.0,Pondok Aren,2024-10-15T05:40:22+0000,2,1,40,30
923189728,545000023.0,Serpong,2024-10-15T05:38:51+0000,2,1,72,45
927029062,225000000.0,Ciputat Timur,2024-10-15T05:37:57+0000,2,1,40,30
927028973,225000000.0,Ciputat,2024-10-15T05:36:09+0000,2,1,40,30
927028957,699000000.0,Pondok Aren,2024-10-15T05:35:53+0000,3,2,64,45
927028930,600000000.0,Ciputat Timur,2024-10-15T05:35:16+0000,3,2,64,45
927027844,875000000.0,Ciputat,2024-10-15T05:10:55+0000,2,2,60,80
927027029,500000000.0,Serpong,2024-10-15T04:53:21+0000,3,2,60,66
927026420,600000000.0,Ciputat,2024-10-15T04:40:48+0000,2,3,64,45
