Harga,Lokasi,Judul,Kamar_Tidur,Kamar_Mandi,Carport,Luas_Tanah,Luas_Bangunan
185000000000.0,"Gading Serpong, Tangerang",Rumah Rapi Dan Siap Huni Di Sektor 7a Gading Serpong,2.0,2.0,1.0,126 m²,126 m²
155000000000.0,"BSD, Tangerang","Dijual Rumah Semi Furnished Full Renov, Bagus Murah Dibawah Pasaran",1.0,2.0,1.0,60 m²,68 m²
185000000000.0,"Alam Sutera, Tangerang",Di Jual Rumah Mewah Brand New Di Alam Sutera,4.0,4.0,2.0,300 m²,500 m²
975000000.0,"Serpong, Tangerang Selatan",Naraya Serpong Dekat Aeon Mall Bsd Stasiun Mrt Puspitek,3.0,2.0,2.0,60 m²,71 m²
375000000000.0,"Bintaro, Tangerang Selatan",Rumah Hoek Sekt 9 Dijamin Betah Di Rumah,3.0,3.0,,220 m²,250 m²
12000000000.0,"Pondok Aren, Tangerang Selatan",Rumah Hook 2 Lantai Sudah Renovasi Di Kompleks Puri Bintaro Hijau,4.0,2.0,1.0,119 m²,162 m²
125000000000.0,"Sektor 9-Bintaro, Tangerang Selatan",Rumah 2 Lantai Baru SHM di Graha Taman Bintaro Jaya Sektor 9,5.0,4.0,2.0,355 m²,450 m²
213000000000.0,"Pamulang, Tangerang Selatan",Rumah Baru 10 Menit Dr Pintu Toll Pamulang,3.0,3.0,2.0,112 m²,136 m²
65000000000.0,"Petir, Tangerang",Rumah Mewah Di Perumahan The Riviera At Puri. Keppel Metland Jo,4.0,2.0,2.0,180 m²,250 m²
247000000000.0,"Graha Raya, Tangerang Selatan",Rumah 2Lantai Bangunan Siap Huni Dalam Cluster Di Graha Raya,3.0,3.0,2.0,120 m²,140 m²
840000000.0,"Cipondoh, Tangerang",Rumah Nego Hadap Utara 10 Menit ke RS EMC Tangerang Dibantu KPR J23761,2.0,1.0,,60 m²,32 m²
335000000000.0,"BSD Puspita Loka, Tangerang",Rumah Rapi Siap Huni di Puspita Loka BSD Dekat Tol,3.0,3.0,1.0,195 m²,150 m²
17000000000.0,"BSD Residence One, Tangerang",Rumah 2 Lantai Di Residence One Bsd Serpong,3.0,2.0,2.0,90 m²,120 m²
19000000000.0,"BSD Griya Loka, Tangerang",Rumah Minimalis Full Furnish di BSD Dekat Sekolah,3.0,2.0,2.0,162 m²,140 m²
580000000.0,"Cisauk, Tangerang",Take Over Rumah Spring Hill Yume Lagoon,2.0,2.0,1.0,95 m²,72 m²
11000000000.0,"Serpong Utara, Tangerang Selatan",rumah baru 2 lantai lokasi nempel bsd,3.0,3.0,2.0,61 m²,80 m²
161000000000.0,"Graha Raya, Tangerang",Rumah 2 Lt Baru Renov 15 Menit Ke Living World Alam Sutera Semi Furnished J24173,2.0,2.0,,72 m²,67 m²
25000000000.0,"Kelapa Dua, Tangerang",Rumah Idaman Dekat Gading Serpong Fasilitas Lengkap,4.0,3.0,1.0,165 m²,129 m²
14000000000.0,"Poris, Tangerang",Murah Banget !!! Rumah Baru Poris Indah Luas 66 Bonus 3 Ac ,1.0,,,65 m²,100 m²
495000000000.0,"BSD The Icon, Tangerang",Bangunan Mandiri The Icon Bsd City,4.0,4.0,1.0,206 m²,237 m²
43000000000.0,"Balaraja, Tangerang",Rumah Bagus Full Furnished Puri Ayu Suvarna Sutera,4.0,3.0,4.0,450 m²,400 m²
82000000000.0,"BSD De Park, Tangerang","Dijual Rumah De Park Heliconia Bsd Semi Furnish dekat dengan Grand lucky, aeon mall, nanyang school, ipeka school, breeze, unilever, Prasetya Mulya university ",4.0,1.0,2.0,350 m²,324 m²
25000000000.0,"Banjar Wijaya, Tangerang",Rumah Dijual Hook di Cluster Banjar Wijaya Cipondoh Tangerang,4.0,4.0,1.0,200 m²,270 m²
695000000000.0,"BSD Delatinos, Tangerang",Rumah Baru Keren Di Hoek Bsd Delatinos Siap Huni,4.0,4.0,2.0,256 m²,350 m²
17000000000.0,"Cikupa, Tangerang",Rumah HOEK Lavon 2 Siap Huni,4.0,3.0,2.0,150 m²,63 m²
395000000000.0,"BSD Eminent, Tangerang",Murah. Harus Terjual Sangat Cepat. Rumah 3 Lantai Bagus Di Bsd Eminent ,4.0,4.0,2.0,153 m²,250 m²
17000000000.0,"Serpong Villa Melati Mas, Tangerang Selatan",Rumah Bagus Di Villa Melati Mas Kondisi Rapih Nego Sampe Deal,2.0,2.0,,150 m²,100 m²
2000000000.0,"Cikupa Citra Raya, Tangerang",Rumah Cantik Kondisi Rapih Bagus Di Suvarna Sutera Cluster Daru ,3.0,2.0,,160 m²,115 m²
925000000000.0,"BSD Green Cove, Tangerang",Green Cove Bsd City Rumah Baru Design Modern Lingkungan Asri,4.0,4.0,,249 m²,416 m²
175000000000.0,"BSD Nusaloka, Tangerang",Jual Cepat Rumah Nusaloka 2 Lantai Depan Taman,2.0,2.0,,120 m²,130 m²
20000000000.0,"Pondok Cabe, Tangerang",Rumah Baru Design Mewah Dalam Cluster Di South City,4.0,4.0,3.0,722 m²,990 m²
195000000000.0,"Kresek, Tangerang",Rumah Green Puri Tangerang Banten Ukuran 6 X 15,4.0,3.0,1.0,90 m²,90 m²
36000000000.0,"Pondok Betung, Tangerang","Dijual Kos ,Kontrakan,Ruko,Kios Pesanggrahan Kodam Bintaro",18.0,12.0,,236 m²,400 m²
29000000000.0,"BSD, Tangerang",Rumah 2 Lantai Dijual Bsd The Icon Cluster Verdant Ville Lt 112m2,3.0,3.0,2.0,112 m²,160 m²
31000000000.0,"BSD, Tangerang",Rumah Bagus Perumahan Eminent Sudah Sertifikat Bsd,3.0,3.0,1.0,162 m²,125 m²
119000000000.0,"Serpong, Tangerang Selatan",Naraya Serpong Free Surat Surat Paling Dekat Stasiun Mrt,3.0,3.0,2.0,70 m²,88 m²
65000000000.0,"BSD, Tangerang",CASH / KPR - Rumah Mewah BSD 9X20 (3 Lantai),5.0,5.0,1.0,180 m²,285 m²
65000000000.0,"BSD City, Tangerang",CASH / KPR - Rumah Mewah BSD 9x20 (3 Lantai),5.0,5.0,1.0,180 m²,285 m²
32000000000.0,"BSD, Tangerang","Rumah Rapih Siap Huni Cluster Fiore, Foresta, Bsd City, Tangerang",4.0,4.0,,128 m²,200 m²
455451000000000.0,"BSD, Tangerang","Rumah Siap Huni Cluster Simplycity, The Icon, Bsd City, Tengerang",3.0,3.0,2.0,206 m²,237 m²
215000000000.0,"BSD, Tangerang",Di Jual Rumah Cantik Di Tanakayu Svani Bsd,3.0,2.0,1.0,66 m²,86 m²
2000000000.0,"Gading Serpong, Tangerang",Rumah Cantik Di Gading Serpong Cluster Samara Village,3.0,3.0,1.0,80 m²,130 m²
15000000000.0,"Gading Serpong, Tangerang", Di Jual Rumah Malibu Village (7x8),2.0,2.0,1.0,56 m²,70 m²
25000000000.0,"Gading Serpong, Tangerang",Rumah Besar Tapi Murah Di Cluster Fiordini (7x17),4.0,3.0,1.0,119 m²,189 m²
13000000000.0,"BSD, Tangerang",Jual Rugi!!! Rumah Di Cluster Tabebuya Invesihaus ( 5x10),2.0,2.0,1.0,50 m²,68 m²
880000000.0,"Alam Sutera, Tangerang","Rumah 2 Lantai Murah Paling Dicari di Alam Sutera 2, Cocok Untuk Investasi ",2.0,1.0,1.0,49 m²,44 m²
799000000.0,"BSD, Tangerang",Rumah Baru 1 Lantai Termurah Dekat Ke Sta. Cisauk & Aeon Mal Bsd,2.0,2.0,1.0,72 m²,42 m²
165000000000.0,"Gading Serpong, Tangerang","Rumah 3 Kamar Siap Huni Sudah Ada Kanopi Dekat Umn, Uph",3.0,2.0,1.0,60 m²,69 m²
39000000000.0,"Gading Serpong, Tangerang",Rumah Gading Serpong Luas 210 M2 Hoek Murah ! Semifurnished Bagus,4.0,3.0,,210 m²,159 m²
17000000000.0,"BSD, Tangerang","Rumah Mewah Taman Tirta Golf, Bsd City Tangerang",7.0,6.0,2.0,708 m²,968 m²
27000000000.0,"Alam Sutera, Tangerang",Dijual Rumah Baru Alam Sutera Lokasi Dekat Sekolah Laurensia,3.0,2.0,,102 m²,130 m²
3000000000.0,"Alam Sutera, Tangerang",Brand New Alam Sutera 3 Lantai Murah !! (6x16),3.0,4.0,,96 m²,130 m²
117000000000.0,"Gading Serpong, Tangerang",Rugi Bandarr !!! Vanya Park Bsd City (6x10) Paling Murahhhh,2.0,2.0,,60 m²,50 m²
32000000000.0,"Gading Serpong, Tangerang",Termurah Cluster Flaminggo Gading Serpong (8x16),4.0,3.0,,128 m²,130 m²
21000000000.0,"Gading Serpong, Tangerang",Rumah Brand New Sektor Gading Serpong 1 (6x18)1,3.0,3.0,,108 m²,150 m²
225000000000.0,"Gading Serpong, Tangerang",Dijual Brand New Sektor 1 Gading Serpong (7x18),3.0,3.0,,126 m²,150 m²
19000000000.0,"Gading Serpong, Tangerang",Rumah Cakep Gading Serpong Sekto 7A,3.0,3.0,,90 m²,124 m²
15000000000.0,"Gading Serpong, Tangerang",KECIL CABE RAWITT Malibu Village Gading Serpong FURNISHED,2.0,2.0,,56 m²,70 m²
216000000000.0,"Bintaro, Tangerang Selatan",Rumah Minimalis 2 Lantai di Bintaro Jaya Sektor 9,4.0,4.0,2.0,79 m²,146 m²
11000000000.0,"Gading Serpong, Tangerang",Rumah Luas 72 Termurah Di Gading Serpong One Gate System,3.0,2.0,1.0,72 m²,84 m²
33000000000.0,"Alam Sutera, Tangerang",RUMAH 10 x 20 TERMURAH DI ALSUT  Semi Furnished Bagus di Alam Sutera,5.0,3.0,2.0,200 m²,150 m²
28000000000.0,"BSD, Tangerang",Segera Dapatkan Hiera Winyard  Rumah di BSD,4.0,3.0,2.0,144 m²,225 m²
499000000000.0,"Gading Serpong, Tangerang",TERWORTH IT GRAND PASADENA VILLAGE  Rumah 3 Lantai di Gading Serpong,5.0,6.0,2.0,171 m²,277 m²
24000000000.0,"Gading Serpong, Tangerang",STROZZI  Rumah 3 Lantai di Gading Serpong,4.0,3.0,1.0,96 m²,161 m²
408000000000.0,"Gading Serpong, Tangerang",Alicante Full Furnished 8 X 18 Termurah!!!! Tinggal Bawa Koper ,3.0,3.0,3.0,144 m²,288 m²
36000000000.0,"Gading Serpong, Tangerang","Rumah Serenade Lake Di Gading Serpong 9x16, Renov, Furnish",3.0,3.0,2.0,144 m²,195 m²
970000000.0,"BSD, Tangerang",Rumah Minimalis Modern Di Dekat Stasiun Sudimara,3.0,2.0,1.0,68 m²,74 m²
970000000.0,"Bintaro, Tangerang Selatan",Rumah Minimalis Modern Di Dekat Stasiun Sudimara,3.0,2.0,1.0,68 m²,70 m²
285000000000.0,"BSD City, Tangerang",Rumah Siap Huni Kawasan Eminent,3.0,2.0,1.0,119 m²,120 m²
800000000.0,"Bintaro, Tangerang Selatan",Dp Mulai 0 Townhouse Indah Asri Residen di Bintaro,2.0,1.0,1.0,65 m²,36 m²
36000000000.0,"Gading Serpong, Tangerang",Cluster Terbaru Summarecon Gading Serpong Cluster Louise,4.0,4.0,,120 m²,120 m²
131000000000.0,"Alam Sutera, Tangerang","Cluster Sutera Winona , Hoek Lt 320m2 Include Lift",5.0,4.0,2.0,320 m²,390 m²
117000000000.0,"Alam Sutera, Tangerang","Rumah Dengan Private Pool , Lt 480m2 , Harga 11.7 M Nego ",5.0,4.0,2.0,480 m²,400 m²
117000000000.0,"Alam Sutera, Tangerang",Rumah Mewah Termurah Sealam Sutera Nyaman Banget !!,4.0,4.0,2.0,480 m²,400 m²
513000000000.0,"Gading Serpong, Tangerang",Cash/Kpr Rumah Lokasi Terbaik Paramount,4.0,4.0,2.0,214 m²,179 m²
115000000000.0,"Alam Sutera, Tangerang",Satu2nya unit winona terluas dan ada lift ,5.0,7.0,,252 m²,420 m²
