judul,harga,lokasi,kamar_tidur,kamar_mandi,carport,luas_tanah,luas_bangunan
Field1,,,,,,,
Full Furnished,"Rp 1,55 Miliar","Rp 1,55 Miliar",1,1,,60 m²,68 m²
Dekat Akses Transportasi,"Rp 18,5 Miliar","Rp 18,5 Miliar",4,2,,300 m²,500 m²
Dekat Akses Transportasi,Rp 975 Juta,"Serpong, Tangerang Selatan",3,2,,60 m²,71 m²
Bebas Banjir,"Rp 3,75 Miliar","Rp 3,75 Miliar",,,,220 m²,250 m²
Dekat Akses Transportasi,"Rp 1,2 Miliar","Rp 1,2 Miliar",4,1,,119 m²,162 m²
"Rp 12,5 Miliar","Rp 12,5 Miliar","Rp 12,5 Miliar",5,2,,355 m²,450 m²
Dekat Akses Transportasi,"Rp 2,13 Miliar","Rp 2,13 Miliar",3,2,,112 m²,136 m²
Siap Huni,"Rp 6,5 Miliar","Rp 6,5 Miliar",4,2,,180 m²,250 m²
Siap Huni,"Rp 2,47 Miliar","Rp 2,47 Miliar",3,2,,120 m²,140 m²
Full Furnished,Rp 840 Juta,"Cipondoh, Tangerang",,,,60 m²,32 m²
Full Furnished,"Rp 3,35 Miliar","Rp 3,35 Miliar",3,1,,195 m²,150 m²
Siap Huni,"Rp 1,7 Miliar","Rp 1,7 Miliar",3,2,,90 m²,120 m²
Full Furnished,"Rp 1,9 Miliar","Rp 1,9 Miliar",3,2,,162 m²,140 m²
Rp 580 Juta,Rp 580 Juta,"Cisauk, Tangerang",2,1,,95 m²,72 m²
Bebas Banjir,"Rp 1,1 Miliar","Rp 1,1 Miliar",3,2,,61 m²,80 m²
Full Furnished,"Rp 1,61 Miliar","Rp 1,61 Miliar",,,,72 m²,67 m²
"Rp 2,5 Miliar","Rp 2,5 Miliar","Rp 2,5 Miliar",4,1,,165 m²,129 m²
"Rp 1,4 Miliar","Rp 1,4 Miliar","Rp 1,4 Miliar",,,,65 m²,100 m²
Dekat Sekolah,"Rp 4,95 Miliar","Rp 4,95 Miliar",4,1,,206 m²,237 m²
Full Furnished,"Rp 4,3 Miliar","Rp 4,3 Miliar",4,4,,450 m²,400 m²
Full Furnished,"Rp 8,2 Miliar","Rp 8,2 Miliar",4,2,,350 m²,324 m²
Dekat Akses Transportasi,"Rp 2,5 Miliar","Rp 2,5 Miliar",4,1,,200 m²,270 m²
Full Furnished,"Rp 6,95 Miliar","Rp 6,95 Miliar",4,2,,256 m²,350 m²
Siap Huni,"Rp 1,7 Miliar","Rp 1,7 Miliar",4,2,,150 m²,63 m²
Full Furnished,"Rp 3,95 Miliar","Rp 3,95 Miliar",4,2,,153 m²,250 m²
Siap Huni,"Rp 1,7 Miliar","Rp 1,7 Miliar",,,,150 m²,100 m²
Rp 2 Miliar,Rp 2 Miliar,"Cikupa Citra Raya, Tangerang",,,,160 m²,115 m²
Siap Huni,"Rp 9,25 Miliar","Rp 9,25 Miliar",,,,249 m²,416 m²
Dekat Pusat Perbelanjaan,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,120 m²,130 m²
Dekat Akses Transportasi,Rp 20 Miliar,"Pondok Cabe, Tangerang",4,3,,722 m²,990 m²
"Rp 1,95 Miliar","Rp 1,95 Miliar","Rp 1,95 Miliar",4,1,,90 m²,90 m²
