title,price,location,size_lt,size_lb,bedrooms,bathrooms,cars
"Dijual Rumah Semi Furnished Full Renov, Bagus Murah Dibawah Pasaran","Rp 1,55 Miliar",9,No LT,No LB,No bedrooms,No bathrooms,No car slots
Di Jual Rumah Mewah Brand New Di Alam Sutera,"Rp 18,5 Miliar",21,No LT,No LB,No bedrooms,No bathrooms,No car slots
Naraya Serpong Dekat Aeon Mall Bsd Stasiun Mrt Puspitek,Rp 975 Juta,11,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Hoek Sekt 9 Dijamin Betah Di Rumah,"Rp 3,75 Miliar",10,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Hook 2 Lantai Sudah Renovasi Di Kompleks Puri Bintaro Hijau,"Rp 1,2 Miliar",15,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah 2 Lantai Baru SHM di Graha Taman Bintaro Jaya Sektor 9,"Rp 12,5 Miliar",20,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Baru 10 Menit Dr Pintu Toll Pamulang,"Rp 2,13 Miliar",10,No LT,No LB,No bedrooms,No bathrooms,No car slots
"Tanakayu, BSD City",No price,Official Developer,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Mewah Di Perumahan The Riviera At Puri. Keppel Metland Jo,"Rp 6,5 Miliar",9,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah 2Lantai Bangunan Siap Huni Dalam Cluster Di Graha Raya,"Rp 2,47 Miliar",7,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Nego Hadap Utara 10 Menit ke RS EMC Tangerang Dibantu KPR J23761,Rp 840 Juta,10,No LT,No LB,No bedrooms,No bathrooms,No car slots
Hiera,No price,Official Developer,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Rapi Siap Huni di Puspita Loka BSD Dekat Tol,"Rp 3,35 Miliar",11,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah 2 Lantai Di Residence One Bsd Serpong,"Rp 1,7 Miliar",8,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Minimalis Full Furnish di BSD Dekat Sekolah,"Rp 1,9 Miliar",10,No LT,No LB,No bedrooms,No bathrooms,No car slots
Sutera Rasuna,No price,Official Developer,No LT,No LB,No bedrooms,No bathrooms,No car slots
Take Over Rumah Spring Hill Yume Lagoon,Rp 580 Juta,12,No LT,No LB,No bedrooms,No bathrooms,No car slots
rumah baru 2 lantai lokasi nempel bsd,"Rp 1,1 Miliar",10,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah 2 Lt Baru Renov 15 Menit Ke Living World Alam Sutera Semi Furnished J24173,"Rp 1,61 Miliar",25,No LT,No LB,No bedrooms,No bathrooms,No car slots
Aksara Homes,No price,Official Developer,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Idaman Dekat Gading Serpong Fasilitas Lengkap,"Rp 2,5 Miliar",11,No LT,No LB,No bedrooms,No bathrooms,No car slots
Murah Banget !!! Rumah Baru Poris Indah Luas 66 Bonus 3 Ac,"Rp 1,4 Miliar",13,No LT,No LB,No bedrooms,No bathrooms,No car slots
Bangunan Mandiri The Icon Bsd City,"Rp 4,95 Miliar",17,No LT,No LB,No bedrooms,No bathrooms,No car slots
"Dijual Rumah De Park Heliconia Bsd Semi Furnish dekat dengan Grand lucky, aeon mall, nanyang school, ipeka school, breeze, unilever, Prasetya Mulya university","Rp 8,2 Miliar",14,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Dijual Hook di Cluster Banjar Wijaya Cipondoh Tangerang,"Rp 2,5 Miliar",15,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Baru Keren Di Hoek Bsd Delatinos Siap Huni,"Rp 6,95 Miliar",35,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah HOEK Lavon 2 Siap Huni,"Rp 1,7 Miliar",15,No LT,No LB,No bedrooms,No bathrooms,No car slots
Murah. Harus Terjual Sangat Cepat. Rumah 3 Lantai Bagus Di Bsd Eminent,"Rp 3,95 Miliar",19,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Bagus Di Villa Melati Mas Kondisi Rapih Nego Sampe Deal,"Rp 1,7 Miliar",8,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Cantik Kondisi Rapih Bagus Di Suvarna Sutera Cluster Daru,Rp 2 Miliar,11,No LT,No LB,No bedrooms,No bathrooms,No car slots
The First Stone,No price,Official Developer,No LT,No LB,No bedrooms,No bathrooms,No car slots
Green Cove Bsd City Rumah Baru Design Modern Lingkungan Asri,"Rp 9,25 Miliar",28,No LT,No LB,No bedrooms,No bathrooms,No car slots
Jual Cepat Rumah Nusaloka 2 Lantai Depan Taman,"Rp 1,75 Miliar",7,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Baru Design Mewah Dalam Cluster Di South City,Rp 20 Miliar,18,No LT,No LB,No bedrooms,No bathrooms,No car slots
CitraGarden Serpong,No price,Official Developer,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Green Puri Tangerang Banten Ukuran 6 X 15,"Rp 1,95 Miliar",8,No LT,No LB,No bedrooms,No bathrooms,No car slots
"Dijual Kos ,Kontrakan,Ruko,Kios Pesanggrahan Kodam Bintaro","Rp 3,6 Miliar",21,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah 2 Lantai Dijual Bsd The Icon Cluster Verdant Ville Lt 112m2,"Rp 2,9 Miliar",15,No LT,No LB,No bedrooms,No bathrooms,No car slots
"Terravia, BSD City",No price,Official Developer,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Bagus Perumahan Eminent Sudah Sertifikat Bsd,"Rp 3,1 Miliar",9,No LT,No LB,No bedrooms,No bathrooms,No car slots
Naraya Serpong Free Surat Surat Paling Dekat Stasiun Mrt,"Rp 1,19 Miliar",10,No LT,No LB,No bedrooms,No bathrooms,No car slots
CASH / KPR - Rumah Mewah BSD 9x20 (3 Lantai),"Rp 6,5 Miliar",11,No LT,No LB,No bedrooms,No bathrooms,No car slots
"Excelia @Taman Banjar Wijaya, Tangerang",No price,Official Developer,No LT,No LB,No bedrooms,No bathrooms,No car slots
CASH / KPR - Rumah Mewah BSD 9X20 (3 Lantai),"Rp 6,5 Miliar",10,No LT,No LB,No bedrooms,No bathrooms,No car slots
"Rumah Rapih Siap Huni Cluster Fiore, Foresta, Bsd City, Tangerang","Rp 3,2 Miliar",18,No LT,No LB,No bedrooms,No bathrooms,No car slots
"Rumah Siap Huni Cluster Simplycity, The Icon, Bsd City, Tengerang","Rp 4,5 MiliarRp 5MHEMAT 451 Jutaan",-9%,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Cantik Di Gading Serpong Cluster Samara Village,Rp 2 Miliar,14,No LT,No LB,No bedrooms,No bathrooms,No car slots
Di Jual Rumah Malibu Village (7x8),"Rp 1,5 Miliar",10,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Besar Tapi Murah Di Cluster Fiordini (7x17),"Rp 2,5 Miliar",5,No LT,No LB,No bedrooms,No bathrooms,No car slots
Jual Rugi!!! Rumah Di Cluster Tabebuya Invesihaus ( 5x10),"Rp 1,3 Miliar",9,No LT,No LB,No bedrooms,No bathrooms,No car slots
"Rumah 2 Lantai Murah Paling Dicari di Alam Sutera 2, Cocok Untuk Investasi",Rp 880 Juta,6,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Baru 1 Lantai Termurah Dekat Ke Sta. Cisauk & Aeon Mal Bsd,Rp 799 Juta,8,No LT,No LB,No bedrooms,No bathrooms,No car slots
"Rumah 3 Kamar Siap Huni Sudah Ada Kanopi Dekat Umn, Uph","Rp 1,65 Miliar",10,No LT,No LB,No bedrooms,No bathrooms,No car slots
Synthesis Homes,No price,Official Developer,No LT,No LB,No bedrooms,No bathrooms,No car slots
Rumah Gading Serpong Luas 210 M2 Hoek Murah ! Semifurnished Bagus,"Rp 3,9 Miliar",9,No LT,No LB,No bedrooms,No bathrooms,No car slots
